Season,League,Team,Status,Nation,Pos,Global Pos,Age,Matches Played,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Tackles_Att,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Interceptions,Clearances,Errors,Dribblers_Tkl_Succ,Dribblers_Tkl_Att,Dribblers_Tkl_Lost,Blocks_Total,Blocks_Shots,Touches_Number,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Number,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Succ,Receiving_PrgR,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Assists,Key Passes,Passes_to_1/3,Passes_to_Penalt_Area,Crosses_into_Penalty_Area,Progressive Passes,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Goals,Shots,SoT,SoT%,Shots/90,Goals/Shot,Goals/SoT,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Playing Time_Minutes,Playing Time_Mn/MP,Starts,Mn/Start,Compl,Subs,unSub,PPM,onG,onGA,On-Off
2022-2023,Ligue1,Toulouse,Squad Total,,,,25.1,38.0,418.0,3420.0,38.0,716.0,349.0,264.0,103.0,409.0,656.0,15.0,368.0,842.0,474.0,476.0,138.0,23432.0,2448.0,7418.0,10853.0,5373.0,773.0,668.0,283.0,302.0,45.2,16785.0,92186.0,43533.0,648.0,533.0,150.0,554.0,303.0,15271.0,1723.0,15392.0,19236.0,80.0,275031.0,102525.0,6715.0,7800.0,86.1,6477.0,7508.0,86.3,1671.0,2815.0,59.4,33.0,329.0,1259.0,297.0,59.0,1737.0,768.0,20.21,558.0,70.0,30.0,66.0,33.0,11.0,81.0,2.13,59.0,5.0,3.0,10.0,4.0,0.0,50.0,453.0,171.0,37.7,11.92,0.1,0.27,57.0,4.0,2.0,8.0,3.0,54.2,0.28,0.2,0.01,136.0,363.0,37.5,1006.0,176.0,24.4,,264.0,44.7,37.2,517.0,30.0,5.8,21.0,0.55,,57.0,1.5,179.0,122.0,70.4,13.0,9.0,16.0,9.0,23.7,7.0,4.0,3.0,0.0,42.9,3.0,473.0,413.0,74.0,660.0,2.0,7.0,3.0,2168.0,483.0,460.0,3420.0,90.0,418.0,82.0,253.0,162.0,180.0,1.26,51.0,57.0,
2022-2023,Ligue1,Toulouse,Opponent Total,,,,26.4,38.0,418.0,3420.0,38.0,605.0,291.0,230.0,84.0,399.0,600.0,16.0,302.0,585.0,283.0,490.0,106.0,22692.0,2282.0,6763.0,10600.0,5636.0,854.0,930.0,474.0,368.0,39.6,16056.0,93947.0,44289.0,743.0,602.0,185.0,603.0,348.0,14579.0,1583.0,14701.0,18410.0,79.9,260807.0,95421.0,6323.0,7311.0,86.5,6381.0,7396.0,86.3,1481.0,2706.0,54.7,31.0,387.0,1302.0,333.0,74.0,1597.0,920.0,24.21,661.0,61.0,78.0,56.0,45.0,19.0,87.0,2.29,54.0,5.0,7.0,12.0,8.0,1.0,54.0,534.0,172.0,32.2,14.05,0.09,0.29,51.0,4.0,1.0,7.0,1.0,48.8,0.27,-1.2,-0.03,155.0,480.0,32.3,929.0,163.0,35.1,34.0,272.0,56.6,42.9,534.0,44.0,8.2,24.0,0.63,11.3,51.0,1.34,175.0,125.0,73.1,16.0,9.0,13.0,11.0,28.9,4.0,4.0,0.0,0.0,0.0,0.0,437.0,441.0,42.0,647.0,6.0,4.0,1.0,2113.0,460.0,483.0,3420.0,90.0,418.0,82.0,249.0,169.0,165.0,1.5,57.0,51.0,
2022-2023,Ligue1,Brest,Squad Total,,,,26.6,38.0,418.0,3420.0,38.0,705.0,348.0,289.0,68.0,475.0,686.0,13.0,356.0,740.0,384.0,435.0,115.0,20724.0,2299.0,6960.0,9493.0,4555.0,668.0,655.0,270.0,301.0,46.0,13923.0,82689.0,37401.0,592.0,490.0,124.0,566.0,322.0,12371.0,1294.0,12486.0,16452.0,75.9,242407.0,93329.0,4874.0,5833.0,83.6,5395.0,6456.0,83.6,1807.0,3246.0,55.7,28.0,314.0,1027.0,243.0,94.0,1311.0,736.0,19.37,495.0,98.0,33.0,50.0,41.0,19.0,73.0,1.92,39.0,10.0,4.0,8.0,9.0,3.0,43.0,417.0,132.0,31.7,10.97,0.09,0.27,54.0,7.0,1.0,11.0,2.0,55.1,0.26,3.1,0.08,206.0,490.0,42.0,824.0,166.0,38.7,,300.0,57.0,43.3,531.0,32.0,6.0,25.0,0.66,,54.0,1.42,179.0,125.0,73.7,11.0,11.0,16.0,9.0,23.7,9.0,7.0,2.0,0.0,22.2,0.0,499.0,462.0,59.0,755.0,7.0,9.0,2.0,2115.0,633.0,569.0,3420.0,90.0,418.0,83.0,258.0,160.0,167.0,1.16,44.0,54.0,
2022-2023,Ligue1,Brest,Opponent Total,,,,26.1,38.0,418.0,3420.0,38.0,623.0,307.0,234.0,82.0,368.0,655.0,11.0,301.0,571.0,270.0,396.0,95.0,24402.0,2105.0,6683.0,12407.0,5542.0,849.0,833.0,384.0,356.0,42.7,17752.0,102226.0,49378.0,686.0,553.0,157.0,619.0,349.0,16224.0,1907.0,16383.0,20233.0,81.0,288921.0,104110.0,6993.0,8078.0,86.6,7252.0,8318.0,87.2,1592.0,2751.0,57.9,34.0,369.0,1457.0,367.0,85.0,1926.0,871.0,22.92,632.0,77.0,48.0,59.0,47.0,8.0,90.0,2.37,59.0,9.0,3.0,9.0,9.0,1.0,52.0,480.0,170.0,35.4,12.63,0.09,0.26,44.0,7.0,1.0,10.0,1.0,37.0,0.22,-6.0,-0.16,125.0,382.0,32.7,873.0,182.0,32.4,31.5,268.0,36.9,34.9,625.0,49.0,7.8,27.0,0.71,10.9,44.0,1.16,140.0,96.0,73.6,16.0,11.0,11.0,10.0,26.3,8.0,7.0,1.0,0.0,12.5,3.0,482.0,482.0,66.0,674.0,7.0,8.0,1.0,2126.0,569.0,633.0,3420.0,90.0,418.0,83.0,249.0,164.0,171.0,1.55,54.0,44.0,
2022-2023,Ligue1,Strasbourg,Squad Total,,,,27.3,38.0,418.0,3420.0,38.0,690.0,316.0,284.0,90.0,437.0,688.0,5.0,344.0,666.0,322.0,423.0,98.0,21567.0,2088.0,6402.0,10381.0,5043.0,755.0,708.0,340.0,277.0,39.1,14701.0,85310.0,39876.0,610.0,604.0,131.0,589.0,313.0,13215.0,1340.0,13337.0,17277.0,77.2,243280.0,88687.0,5565.0,6548.0,85.0,5799.0,6916.0,83.8,1518.0,2902.0,52.3,28.0,324.0,1110.0,313.0,97.0,1351.0,774.0,20.37,550.0,69.0,38.0,45.0,53.0,19.0,78.0,2.05,52.0,2.0,5.0,9.0,7.0,3.0,48.0,442.0,150.0,33.9,11.63,0.1,0.29,59.0,10.0,1.0,6.0,0.0,56.5,0.27,-2.5,-0.06,159.0,455.0,34.9,775.0,130.0,44.8,,196.0,55.1,43.9,504.0,31.0,6.2,32.0,0.84,,59.0,1.55,174.0,115.0,71.8,9.0,13.0,16.0,6.0,15.8,11.0,10.0,0.0,1.0,0.0,2.0,529.0,474.0,43.0,647.0,6.0,11.0,0.0,2132.0,677.0,573.0,3420.0,90.0,418.0,81.0,250.0,161.0,169.0,1.05,51.0,59.0,
2022-2023,Ligue1,Strasbourg,Opponent Total,,,,26.2,38.0,418.0,3420.0,38.0,590.0,259.0,254.0,77.0,344.0,702.0,11.0,277.0,617.0,340.0,391.0,104.0,24641.0,2364.0,7392.0,12390.0,5079.0,730.0,755.0,322.0,344.0,45.6,17910.0,100662.0,46291.0,691.0,578.0,159.0,557.0,346.0,16370.0,1465.0,16499.0,20557.0,80.3,297866.0,101764.0,6936.0,8068.0,86.0,7068.0,8198.0,86.2,1867.0,3126.0,59.7,34.0,297.0,1218.0,258.0,68.0,1478.0,737.0,19.39,527.0,67.0,38.0,46.0,48.0,11.0,104.0,2.74,71.0,7.0,3.0,10.0,12.0,1.0,59.0,414.0,164.0,39.6,10.89,0.12,0.3,51.0,5.0,1.0,8.0,3.0,51.1,0.29,3.1,0.08,176.0,493.0,35.7,1083.0,174.0,33.1,33.4,246.0,54.5,42.3,525.0,48.0,9.1,39.0,1.03,13.8,51.0,1.34,157.0,107.0,70.7,16.0,13.0,9.0,6.0,15.8,7.0,5.0,2.0,0.0,28.6,4.0,500.0,503.0,85.0,632.0,9.0,7.0,3.0,2123.0,573.0,677.0,3420.0,90.0,418.0,81.0,262.0,149.0,185.0,1.61,59.0,51.0,
2022-2023,Ligue1,Nantes,Squad Total,,,,26.7,38.0,418.0,3420.0,38.0,709.0,367.0,249.0,93.0,431.0,731.0,8.0,367.0,730.0,363.0,427.0,107.0,21497.0,2310.0,6504.0,10417.0,4849.0,726.0,788.0,378.0,333.0,42.3,14771.0,86725.0,40556.0,705.0,483.0,154.0,553.0,350.0,13142.0,1547.0,13283.0,17169.0,77.4,249004.0,92349.0,5334.0,6308.0,84.6,5788.0,6906.0,83.8,1710.0,3062.0,55.8,27.0,330.0,1217.0,248.0,103.0,1565.0,771.0,20.29,558.0,70.0,52.0,49.0,33.0,9.0,63.0,1.66,45.0,6.0,3.0,4.0,4.0,1.0,35.0,443.0,151.0,34.1,11.66,0.07,0.21,55.0,9.0,1.0,6.0,4.0,56.3,0.26,5.3,0.14,194.0,525.0,37.0,962.0,211.0,36.9,,253.0,67.2,49.2,504.0,43.0,8.5,39.0,1.03,,55.0,1.45,185.0,134.0,75.1,7.0,15.0,16.0,11.0,28.9,9.0,9.0,0.0,0.0,0.0,2.0,481.0,414.0,54.0,820.0,3.0,9.0,4.0,2075.0,592.0,598.0,3420.0,90.0,418.0,81.0,239.0,176.0,147.0,0.95,37.0,55.0,
2022-2023,Ligue1,Nantes,Opponent Total,,,,26.3,38.0,418.0,3420.0,38.0,683.0,367.0,245.0,71.0,336.0,738.0,13.0,333.0,711.0,378.0,372.0,109.0,24671.0,2322.0,7243.0,11988.0,5684.0,822.0,818.0,363.0,367.0,44.9,18004.0,105220.0,49109.0,750.0,628.0,179.0,638.0,342.0,16438.0,1760.0,16588.0,20454.0,81.1,287994.0,108656.0,7440.0,8476.0,87.8,6976.0,8088.0,86.3,1533.0,2744.0,55.9,29.0,333.0,1400.0,329.0,60.0,1771.0,786.0,20.68,582.0,55.0,47.0,56.0,35.0,11.0,86.0,2.26,55.0,5.0,8.0,10.0,7.0,1.0,51.0,448.0,176.0,39.3,11.79,0.09,0.24,37.0,3.0,0.0,5.0,2.0,41.2,0.25,6.2,0.16,196.0,496.0,39.5,1006.0,190.0,36.3,33.9,238.0,55.0,42.5,652.0,53.0,8.1,31.0,0.82,10.9,37.0,0.97,155.0,119.0,78.1,16.0,15.0,7.0,15.0,39.5,5.0,3.0,1.0,1.0,25.0,1.0,435.0,454.0,52.0,636.0,6.0,5.0,2.0,2061.0,598.0,592.0,3420.0,90.0,418.0,81.0,260.0,156.0,180.0,1.66,55.0,37.0,
2022-2023,Ligue1,Auxerre,Squad Total,,,,27.3,38.0,418.0,3420.0,38.0,674.0,337.0,263.0,74.0,454.0,782.0,11.0,313.0,678.0,365.0,441.0,118.0,20359.0,2523.0,7094.0,9231.0,4269.0,630.0,749.0,337.0,319.0,42.6,13862.0,80840.0,35785.0,531.0,461.0,131.0,645.0,320.0,12268.0,1267.0,12386.0,15989.0,77.5,240572.0,90967.0,4837.0,5709.0,84.7,5262.0,6177.0,85.2,1838.0,3237.0,56.8,17.0,301.0,1020.0,243.0,82.0,1284.0,733.0,19.29,528.0,61.0,52.0,40.0,35.0,17.0,50.0,1.32,28.0,4.0,3.0,7.0,8.0,0.0,32.0,420.0,117.0,27.9,11.05,0.06,0.21,63.0,4.0,0.0,3.0,1.0,57.8,0.3,-4.2,-0.11,268.0,698.0,38.4,978.0,145.0,48.4,,289.0,77.9,53.5,599.0,17.0,2.8,26.0,0.68,,63.0,1.66,181.0,117.0,67.4,8.0,11.0,19.0,7.0,18.4,6.0,4.0,2.0,0.0,33.3,4.0,462.0,419.0,48.0,617.0,6.0,6.0,1.0,2078.0,487.0,566.0,3420.0,90.0,418.0,82.0,255.0,159.0,182.0,0.92,35.0,63.0,
2022-2023,Ligue1,Auxerre,Opponent Total,,,,26.4,38.0,418.0,3420.0,38.0,639.0,276.0,267.0,96.0,361.0,584.0,8.0,319.0,656.0,337.0,379.0,98.0,24994.0,2115.0,6775.0,12537.0,5872.0,886.0,761.0,365.0,313.0,41.1,18531.0,107016.0,51620.0,669.0,573.0,190.0,544.0,361.0,16995.0,1815.0,17165.0,21041.0,81.6,302893.0,106544.0,7520.0,8588.0,87.6,7334.0,8452.0,86.8,1699.0,2884.0,58.9,45.0,353.0,1494.0,343.0,88.0,1837.0,829.0,21.82,597.0,76.0,49.0,45.0,44.0,18.0,108.0,2.84,85.0,4.0,6.0,8.0,3.0,2.0,62.0,466.0,175.0,37.6,12.26,0.12,0.33,35.0,7.0,1.0,5.0,3.0,32.3,0.2,0.3,0.01,174.0,400.0,43.5,901.0,167.0,31.1,30.8,266.0,45.1,37.2,494.0,29.0,5.9,37.0,0.97,14.2,35.0,0.92,125.0,92.0,77.6,19.0,11.0,8.0,11.0,28.9,9.0,7.0,1.0,1.0,12.5,0.0,438.0,432.0,82.0,751.0,4.0,9.0,3.0,2102.0,566.0,487.0,3420.0,90.0,418.0,82.0,254.0,161.0,176.0,1.79,63.0,35.0,
2022-2023,Ligue1,Ajaccio,Squad Total,,,,29.1,38.0,418.0,3420.0,38.0,637.0,321.0,236.0,80.0,420.0,670.0,10.0,313.0,693.0,380.0,359.0,85.0,19271.0,1979.0,6134.0,9380.0,3966.0,486.0,630.0,283.0,277.0,44.0,12563.0,73525.0,32335.0,487.0,406.0,92.0,625.0,324.0,11114.0,1150.0,11216.0,15286.0,73.4,206467.0,81586.0,4741.0,5780.0,82.0,4578.0,5701.0,80.3,1448.0,2889.0,50.1,12.0,234.0,954.0,188.0,71.0,1169.0,539.0,14.18,350.0,72.0,22.0,34.0,51.0,10.0,38.0,1.0,23.0,0.0,3.0,5.0,5.0,2.0,22.0,311.0,81.0,26.0,8.18,0.05,0.2,74.0,9.0,1.0,11.0,2.0,57.6,0.31,-14.4,-0.38,238.0,633.0,37.6,785.0,90.0,53.2,,260.0,82.7,51.8,507.0,26.0,5.1,60.0,1.58,,74.0,1.95,161.0,89.0,59.6,7.0,5.0,26.0,6.0,15.8,10.0,9.0,0.0,1.0,0.0,2.0,541.0,495.0,63.0,631.0,8.0,10.0,2.0,2053.0,602.0,711.0,3420.0,90.0,418.0,81.0,239.0,172.0,164.0,0.68,23.0,74.0,
2022-2023,Ligue1,Ajaccio,Opponent Total,,,,26.1,38.0,418.0,3420.0,38.0,601.0,264.0,267.0,70.0,349.0,613.0,5.0,277.0,560.0,283.0,386.0,77.0,24302.0,1953.0,6843.0,12450.0,5271.0,764.0,774.0,380.0,313.0,40.4,17674.0,100153.0,48479.0,636.0,558.0,135.0,539.0,324.0,16224.0,1685.0,16356.0,20436.0,80.0,298602.0,99155.0,6775.0,7903.0,85.7,7174.0,8331.0,86.1,1872.0,3174.0,59.0,49.0,297.0,1308.0,310.0,66.0,1696.0,732.0,19.26,536.0,60.0,49.0,38.0,43.0,6.0,124.0,3.26,85.0,7.0,13.0,11.0,8.0,0.0,72.0,410.0,152.0,37.1,10.79,0.15,0.41,23.0,6.0,0.0,3.0,1.0,30.0,0.25,8.0,0.21,156.0,414.0,37.7,945.0,154.0,31.2,32.7,226.0,52.7,41.7,504.0,31.0,6.2,28.0,0.74,13.4,23.0,0.61,89.0,65.0,80.9,26.0,5.0,7.0,22.0,57.9,9.0,6.0,2.0,1.0,25.0,2.0,522.0,512.0,67.0,621.0,7.0,9.0,1.0,2074.0,711.0,602.0,3420.0,90.0,418.0,81.0,247.0,166.0,167.0,2.18,74.0,23.0,
2022-2023,Ligue1,Troyes,Squad Total,,,,25.8,38.0,418.0,3420.0,38.0,608.0,333.0,207.0,68.0,398.0,779.0,5.0,272.0,606.0,334.0,416.0,144.0,20380.0,2819.0,7826.0,8833.0,3993.0,590.0,792.0,365.0,347.0,43.8,14238.0,84027.0,38482.0,638.0,481.0,144.0,531.0,341.0,12642.0,1224.0,12751.0,16193.0,78.7,226331.0,85483.0,5580.0,6477.0,86.2,5447.0,6399.0,85.1,1278.0,2441.0,52.4,26.0,303.0,941.0,206.0,63.0,1235.0,696.0,18.32,503.0,59.0,47.0,40.0,34.0,13.0,72.0,1.89,48.0,3.0,6.0,8.0,7.0,0.0,43.0,390.0,130.0,33.3,10.26,0.1,0.29,81.0,7.0,0.0,10.0,2.0,71.3,0.29,-7.7,-0.2,146.0,518.0,28.2,942.0,185.0,36.1,,319.0,55.8,42.7,650.0,45.0,6.9,22.0,0.58,,81.0,2.13,228.0,148.0,67.5,4.0,12.0,22.0,1.0,2.6,8.0,7.0,1.0,0.0,12.5,1.0,402.0,404.0,57.0,517.0,4.0,8.0,2.0,1986.0,476.0,495.0,3420.0,90.0,418.0,83.0,273.0,141.0,192.0,0.63,45.0,81.0,
2022-2023,Ligue1,Troyes,Opponent Total,,,,26.4,38.0,418.0,3420.0,38.0,688.0,260.0,290.0,138.0,383.0,498.0,8.0,347.0,712.0,365.0,399.0,97.0,26047.0,1829.0,6230.0,12999.0,7067.0,1140.0,691.0,334.0,272.0,39.4,19892.0,112602.0,53529.0,791.0,793.0,206.0,523.0,336.0,18327.0,1988.0,18477.0,22021.0,83.9,329374.0,109110.0,7717.0,8709.0,88.6,8320.0,9343.0,89.1,1823.0,2862.0,63.7,51.0,461.0,1575.0,457.0,111.0,2004.0,1128.0,29.68,855.0,83.0,58.0,77.0,41.0,14.0,131.0,3.45,85.0,7.0,8.0,21.0,8.0,2.0,79.0,618.0,220.0,35.6,16.26,0.12,0.33,45.0,5.0,1.0,3.0,2.0,36.5,0.24,-6.5,-0.17,139.0,340.0,40.9,916.0,141.0,28.4,30.6,195.0,41.0,36.4,423.0,30.0,7.1,47.0,1.24,15.7,45.0,1.18,135.0,92.0,70.4,22.0,12.0,4.0,11.0,28.9,5.0,5.0,0.0,0.0,0.0,2.0,431.0,381.0,65.0,816.0,8.0,5.0,2.0,2160.0,495.0,476.0,3420.0,90.0,418.0,83.0,249.0,164.0,172.0,2.05,81.0,45.0,
2022-2023,Ligue1,Angers,Squad Total,,,,25.7,38.0,418.0,3420.0,38.0,652.0,311.0,268.0,73.0,375.0,605.0,13.0,310.0,610.0,300.0,402.0,99.0,21515.0,2041.0,6588.0,10633.0,4609.0,567.0,928.0,441.0,392.0,42.2,15521.0,89958.0,41416.0,632.0,596.0,149.0,593.0,349.0,13974.0,1374.0,14103.0,17463.0,80.8,252709.0,88748.0,5934.0,6810.0,87.1,6249.0,7208.0,86.7,1435.0,2536.0,56.6,18.0,276.0,1124.0,214.0,65.0,1393.0,647.0,17.03,471.0,56.0,44.0,25.0,44.0,7.0,53.0,1.39,35.0,5.0,2.0,4.0,7.0,0.0,31.0,367.0,121.0,33.0,9.66,0.07,0.22,81.0,9.0,1.0,9.0,4.0,67.8,0.3,-9.2,-0.24,127.0,416.0,30.5,735.0,194.0,38.0,,254.0,53.9,42.3,500.0,38.0,7.6,27.0,0.71,,81.0,2.13,197.0,119.0,63.5,4.0,6.0,28.0,4.0,10.5,11.0,9.0,1.0,1.0,10.0,3.0,492.0,422.0,47.0,584.0,4.0,11.0,4.0,2025.0,436.0,441.0,3420.0,90.0,418.0,81.0,256.0,157.0,184.0,0.47,33.0,81.0,
2022-2023,Ligue1,Angers,Opponent Total,,,,26.5,38.0,418.0,3420.0,38.0,741.0,348.0,293.0,100.0,370.0,526.0,11.0,392.0,833.0,441.0,347.0,84.0,23892.0,1965.0,6828.0,12114.0,5218.0,824.0,708.0,300.0,310.0,43.8,17872.0,102417.0,48645.0,725.0,589.0,160.0,564.0,342.0,16318.0,1589.0,16447.0,19945.0,82.5,298240.0,100644.0,6859.0,7828.0,87.6,7221.0,8163.0,88.5,1809.0,2900.0,62.4,57.0,347.0,1274.0,310.0,80.0,1600.0,802.0,21.11,578.0,80.0,46.0,46.0,43.0,9.0,136.0,3.58,96.0,9.0,12.0,6.0,10.0,3.0,77.0,452.0,187.0,41.4,11.89,0.15,0.36,33.0,4.0,1.0,3.0,2.0,36.6,0.26,5.6,0.15,156.0,440.0,35.5,940.0,138.0,33.2,33.3,226.0,56.6,43.0,466.0,41.0,8.8,30.0,0.79,12.9,33.0,0.87,125.0,94.0,76.8,28.0,6.0,4.0,13.0,34.2,4.0,4.0,0.0,0.0,0.0,2.0,437.0,466.0,70.0,640.0,8.0,4.0,2.0,2056.0,441.0,436.0,3420.0,90.0,418.0,81.0,253.0,160.0,172.0,2.37,81.0,33.0,
2022-2023,SeriaA,Napoli,Squad Total,,,,26.4,38.0,418.0,3420.0,38.0,569.0,236.0,227.0,106.0,287.0,490.0,7.0,255.0,521.0,266.0,374.0,96.0,28410.0,2012.0,7168.0,13935.0,7548.0,1084.0,798.0,337.0,361.0,45.2,17977.0,89551.0,46645.0,907.0,663.0,237.0,566.0,339.0,20948.0,1789.0,21086.0,24473.0,86.2,349837.0,113047.0,10412.0,11275.0,92.3,8149.0,9116.0,89.4,1839.0,2748.0,66.9,57.0,490.0,1638.0,411.0,89.0,1804.0,1105.0,29.08,819.0,92.0,58.0,66.0,47.0,23.0,131.0,3.45,98.0,8.0,4.0,14.0,6.0,1.0,75.0,605.0,212.0,35.0,15.92,0.11,0.32,28.0,1.0,0.0,2.0,0.0,28.0,0.24,0.0,0.0,71.0,181.0,39.2,861.0,145.0,15.2,,229.0,21.8,27.6,391.0,13.0,3.3,43.0,1.13,,28.0,0.74,107.0,78.0,74.8,28.0,6.0,4.0,18.0,47.4,2.0,1.0,1.0,0.0,50.0,0.0,389.0,468.0,60.0,681.0,8.0,2.0,0.0,2027.0,483.0,403.0,3420.0,90.0,418.0,82.0,237.0,181.0,319.0,2.37,77.0,28.0,
2022-2023,SeriaA,Napoli,Opponent Total,,,,26.4,38.0,418.0,3420.0,38.0,700.0,403.0,226.0,71.0,331.0,726.0,14.0,361.0,698.0,337.0,436.0,161.0,19204.0,2773.0,7705.0,7898.0,3809.0,583.0,592.0,266.0,255.0,43.1,10134.0,52064.0,25529.0,509.0,365.0,129.0,531.0,314.0,11546.0,1007.0,11634.0,15077.0,77.2,205352.0,78029.0,5405.0,6156.0,87.8,4729.0,5618.0,84.2,1189.0,2442.0,48.7,18.0,280.0,769.0,235.0,66.0,1013.0,644.0,16.95,459.0,61.0,39.0,38.0,24.0,23.0,48.0,1.26,32.0,2.0,5.0,7.0,0.0,2.0,28.0,363.0,105.0,28.9,9.55,0.07,0.26,77.0,8.0,0.0,16.0,2.0,63.7,0.25,-11.3,-0.3,207.0,628.0,33.0,1071.0,171.0,41.6,36.0,300.0,60.7,46.6,530.0,16.0,3.0,26.0,0.68,12.6,77.0,2.03,222.0,145.0,68.9,4.0,6.0,28.0,6.0,15.8,10.0,8.0,2.0,0.0,20.0,3.0,495.0,363.0,50.0,491.0,1.0,10.0,2.0,1901.0,403.0,483.0,3420.0,90.0,418.0,82.0,234.0,180.0,282.0,0.47,28.0,77.0,
2022-2023,SeriaA,Lazio,Squad Total,,,,28.6,38.0,418.0,3420.0,38.0,582.0,261.0,234.0,87.0,310.0,606.0,8.0,277.0,625.0,348.0,437.0,126.0,25453.0,2536.0,8100.0,12315.0,5243.0,769.0,612.0,285.0,239.0,39.1,14379.0,73160.0,36610.0,683.0,484.0,182.0,528.0,290.0,18009.0,1368.0,18135.0,21629.0,83.8,293491.0,106673.0,9434.0,10386.0,90.8,6408.0,7337.0,87.3,1635.0,2620.0,62.4,37.0,325.0,1214.0,283.0,44.0,1381.0,760.0,20.0,576.0,56.0,44.0,43.0,32.0,9.0,103.0,2.71,78.0,3.0,6.0,11.0,5.0,0.0,59.0,430.0,161.0,37.4,11.32,0.12,0.33,30.0,1.0,0.0,5.0,1.0,31.4,0.25,2.4,0.06,160.0,376.0,42.6,1125.0,167.0,27.6,,198.0,33.3,33.2,493.0,21.0,4.3,55.0,1.45,,30.0,0.79,128.0,99.0,77.3,22.0,8.0,8.0,21.0,55.3,2.0,1.0,0.0,1.0,0.0,0.0,400.0,471.0,54.0,483.0,6.0,2.0,1.0,1979.0,399.0,381.0,3420.0,90.0,418.0,82.0,267.0,149.0,328.0,1.95,60.0,30.0,
2022-2023,SeriaA,Lazio,Opponent Total,,,,26.5,38.0,418.0,3420.0,38.0,529.0,219.0,242.0,68.0,329.0,537.0,15.0,239.0,524.0,285.0,405.0,107.0,23748.0,2616.0,8902.0,10305.0,4791.0,705.0,713.0,348.0,277.0,38.8,14398.0,71206.0,33098.0,598.0,404.0,140.0,523.0,305.0,16340.0,1289.0,16443.0,19956.0,82.4,304989.0,97577.0,6647.0,7401.0,89.8,7571.0,8410.0,90.0,1844.0,3111.0,59.3,21.0,352.0,1088.0,276.0,86.0,1302.0,812.0,21.37,583.0,76.0,55.0,54.0,31.0,13.0,53.0,1.39,38.0,3.0,2.0,5.0,3.0,2.0,29.0,464.0,127.0,27.4,12.21,0.06,0.22,60.0,6.0,1.0,5.0,1.0,57.4,0.3,-1.6,-0.04,182.0,445.0,40.9,1241.0,168.0,27.6,30.3,237.0,43.5,39.1,382.0,21.0,5.5,47.0,1.24,14.4,60.0,1.58,168.0,108.0,67.9,8.0,8.0,22.0,7.0,18.4,8.0,6.0,1.0,1.0,14.3,5.0,500.0,376.0,63.0,641.0,2.0,8.0,1.0,2041.0,381.0,399.0,3420.0,90.0,418.0,82.0,238.0,175.0,304.0,0.84,30.0,60.0,
