player,player_id,country,team,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,position_level_0,position_level_2,position_level_1
Danijel Subašić,3444.0,Croatia,AS Monaco,36.0,3240.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",36.0,Goalkeeper,Goalkeeper,Goalkeeper
Radamel Falcao García Zárate,3445.0,Colombia,Chelsea,1.0,90.0,0.0,0.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Back', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Center Forward']","['Center Forward', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Back', 'Right Defensive Midfield', 'Left Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Wing']",1.0,Forward,Center Forward,Striker
Djibril Sidibé,3446.0,France,Lille,36.0,3240.0,0.0,0.0,"['Left Wing Back', 'Left Back', 'Right Back', 'Right Wing Back', 'Right Center Back']","['Left Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back', 'Left Back', 'Left Back', 'Right Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Right Center Back', 'Left Back', 'Right Wing Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Right Wing Back', 'Left Wing Back', 'Left Back', 'Right Wing Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back']",36.0,Defender,Left Back,Offensive Defender
Martin Kelly,3448.0,England,Crystal Palace,11.0,990.0,0.0,0.0,"['Left Back', 'Right Back']","['Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Right Back']",11.0,Defender,Right Back,Offensive Defender
Wayne Routledge,3449.0,England,Swansea City,39.0,2046.0,17.0,17.0,"['Right Midfield', 'Left Back', 'Left Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Left Wing']","['Right Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Left Wing', 'Right Center Forward', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Center Forward', 'Right Wing', 'Left Back', 'Right Wing', 'Left Midfield', 'Left Center Forward', 'Left Center Forward', 'Right Wing', 'Left Wing', 'Left Center Forward', 'Right Wing', 'Left Wing']",22.73333333333333,Forward,Left Wing,Winger
Jordan Ayew,3450.0,Ghana,Aston Villa,34.0,2461.0,7.0,7.0,"['Center Attacking Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Left Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Forward', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Wing', 'Right Center Forward', 'Left Wing', 'Left Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Center Forward', 'Left Wing', 'Right Wing', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Wing']",27.344444444444445,Forward,Left Wing,Winger
Alexandre Lacazette,3451.0,France,Lyon,40.0,3078.0,6.0,6.0,"['Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward']",34.2,Forward,Center Forward,Striker
Troy Deeney,3454.0,England,Watford,39.0,3255.0,3.0,3.0,"['Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Center Forward']","['Right Wing', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Midfield', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Wing', 'Right Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward']",36.16666666666666,Forward,Right Center Forward,Striker
Kurt Happy Zouma,3456.0,France,Chelsea,22.0,1896.0,1.0,1.0,"['Right Center Midfield', 'Right Back', 'Left Center Back', 'Center Back', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Midfield']",21.066666666666663,Defender,Right Center Back,Regular Defender
Michy Batshuayi Tunga,3457.0,Belgium,Marseille,37.0,2897.0,5.0,5.0,"['Right Wing', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward']","['Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Defensive Midfield', 'Center Forward', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward']",32.18888888888889,Forward,Center Forward,Striker
Ben Chilwell,3458.0,England,Leicester City,0.0,0.0,0.0,0.0,[],[],0.0,,,
Petr Čech,3461.0,Czech Republic,Arsenal,34.0,3060.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",34.0,Goalkeeper,Goalkeeper,Goalkeeper
Jack Frank Porteous Cork,3462.0,England,Swansea City,32.0,2539.0,4.0,4.0,"['Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Forward', 'Left Wing']","['Center Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Wing', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Forward', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield']",28.211111111111112,Midfielder,Right Center Midfield,Central Midfielder
Junior Stanislas,3463.0,England,AFC Bournemouth,26.0,1569.0,9.0,9.0,"['Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Center Forward']","['Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Center Forward', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield']",17.433333333333334,Midfielder,Left Midfield,Central Midfielder
James McArthur,3464.0,Scotland,Crystal Palace,36.0,2377.0,10.0,10.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']","['Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",26.41111111111111,Midfielder,Left Defensive Midfield,Defensive Midfielder
Timothy Evans Fosu-Mensah,3465.0,Netherlands,Manchester United,3.0,184.0,1.0,1.0,"['Left Center Midfield', 'Right Midfield', 'Left Back', 'Right Back', 'Center Defensive Midfield', 'Right Center Back']","['Right Back', 'Left Back', 'Right Back', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Center Back', 'Left Back', 'Right Midfield', 'Left Back', 'Right Back', 'Right Center Back']",2.0444444444444443,Defender,Right Back,Offensive Defender
Erik Pieters,3467.0,Netherlands,Stoke City,38.0,3161.0,3.0,3.0,['Left Back'],"['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",35.12222222222222,Defender,Left Back,Offensive Defender
Jordan Pickford,3468.0,England,Sunderland,2.0,180.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper']",2.0,Goalkeeper,Goalkeeper,Goalkeeper
Bakary Sako,3469.0,Mali,Crystal Palace,20.0,1115.0,8.0,8.0,"['Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Right Wing', 'Left Defensive Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Center Forward', 'Right Wing', 'Left Defensive Midfield', 'Left Wing', 'Left Wing']",12.38888888888889,Forward,Left Wing,Winger
Dejan Lovren,3471.0,Croatia,Liverpool,25.0,1997.0,3.0,3.0,"['Center Attacking Midfield', 'Center Back', 'Left Center Back', 'Right Center Back']","['Right Center Back', 'Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Center Attacking Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back']",22.18888888888889,Defender,Left Center Back,Regular Defender
Willian Borges da Silva,3472.0,Brazil,Chelsea,46.0,2936.0,14.0,14.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Wing', 'Left Wing']","['Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Left Center Midfield', 'Right Wing', 'Right Wing', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing']",32.62222222222222,Forward,Right Wing,Winger
James Philip Milner,3473.0,England,Liverpool,35.0,2546.0,7.0,7.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Back', 'Center Defensive Midfield', 'Left Wing']","['Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Wing', 'Right Center Midfield', 'Right Back', 'Right Midfield', 'Right Midfield', 'Right Back', 'Left Wing', 'Right Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Wing', 'Left Center Midfield', 'Right Wing', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Right Center Midfield']",28.288888888888888,Midfielder,Right Center Midfield,Central Midfielder
Per Mertesacker,3475.0,Germany,Arsenal,25.0,2164.0,1.0,1.0,"['Center Attacking Midfield', 'Left Wing', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Wing', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",24.044444444444444,Defender,Right Center Back,Regular Defender
Muhamed Bešić,3476.0,Bosnia and Herzegovina,Everton,11.0,647.0,4.0,4.0,"['Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Wing', 'Right Back', 'Left Center Back', 'Left Defensive Midfield', 'Left Wing']","['Right Back', 'Right Wing', 'Right Center Midfield', 'Right Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Back', 'Left Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Back']",7.188888888888889,Midfielder,Left Center Midfield,Central Midfielder
Álvaro Borja Morata Martín,3477.0,Spain,Juventus,29.0,1486.0,13.0,13.0,"['Center Attacking Midfield', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Wing', 'Left Wing', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward']",16.511111111111113,Forward,Left Center Forward,Striker
Francesc Fàbregas i Soler,3478.0,Spain,Chelsea,41.0,3003.0,8.0,8.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Center Back', 'Left Defensive Midfield', 'Right Wing Back']","['Right Defensive Midfield', 'Right Wing', 'Right Center Midfield', 'Right Wing Back', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",33.36666666666667,Midfielder,Right Defensive Midfield,Defensive Midfielder
Sam Field,3479.0,England,West Bromwich Albion,0.0,0.0,0.0,0.0,['Left Wing'],['Left Wing'],0.0,Forward,Left Wing,Winger
Geoff Cameron,3480.0,United States of America,Stoke City,32.0,2451.0,5.0,5.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Back', 'Left Center Back', 'Left Defensive Midfield', 'Right Center Back']","['Right Center Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Back', 'Left Center Back', 'Right Back', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back']",27.23333333333333,Defender,Right Center Back,Regular Defender
Serge Aurier,3481.0,Côte d'Ivoire,Paris Saint-Germain,21.0,1802.0,1.0,1.0,"['Right Back', 'Right Center Back']","['Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",20.022222222222226,Defender,Right Back,Offensive Defender
James Collins,3482.0,Wales,West Ham United,17.0,1444.0,1.0,1.0,"['Center Attacking Midfield', 'Right Back', 'Left Center Back', 'Right Center Back', 'Center Back', 'Left Wing']","['Left Center Back', 'Left Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Wing', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",16.044444444444444,Defender,Right Center Back,Regular Defender
Mamadou Sakho,3483.0,France,Liverpool,23.0,1897.0,2.0,2.0,"['Left Center Back', 'Right Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",21.07777777777778,Defender,Left Center Back,Regular Defender
Fernando Llorente Torres,3486.0,Spain,Sevilla,26.0,1301.0,12.0,12.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Left Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Midfield', 'Right Center Forward']",14.455555555555556,Forward,Center Forward,Striker
Julián Speroni,3487.0,Argentina,Crystal Palace,2.0,180.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper']",2.0,Goalkeeper,Goalkeeper,Goalkeeper
Wayne Hennessey,3488.0,Wales,Crystal Palace,29.0,2610.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",29.0,Goalkeeper,Goalkeeper,Goalkeeper
James Morrison,3490.0,Scotland,West Bromwich Albion,24.0,1562.0,7.0,7.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing']","['Left Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Midfield']",17.355555555555554,Midfielder,Left Center Midfield,Central Midfielder
